geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
B4GALT3,28.85042382,29.02157605,30.67938379,29.51712788,41.07660466,42.8174848,42.33745087,42.07718011,25.05864564,25.53180019,25.29522291,30.99082321,33.09798436,32.43640187,32.17506981,32.83311524,0.511485659,0.347078314
B4GALT4,13.36326828,12.76442675,13.33006989,13.15258831,13.96460703,12.05425954,14.54739219,13.52208626,25.84391088,25.66505936,25.75448512,26.871967,25.31754367,28.04754693,26.74568587,11.10318833,0.039971016,0.0544825
B4GALT5,142.7247766,136.4068018,147.3336245,142.1550676,166.745362,131.6160232,168.7961353,155.7191735,120.9970446,116.662657,118.8298508,112.6657498,111.0726654,116.2055968,113.3146706,143.0247281,0.131481062,-0.068562639
B4GALT6,0,0,0,0,0,0,0,0,2.693810552,2.475327059,2.584568805,3.727812358,3.890501429,3.975632806,3.864648864,0,0,0.580413545
B4GALT7,21.05908255,23.45964105,23.78286612,22.76719657,18.93036614,19.46238007,20.91140535,19.76805052,8.441726483,8.378030044,8.409878264,10.24406791,10.08648519,9.487906212,9.939486436,17.9983167,-0.203786044,0.241086368
B4GAT1,81.66432336,83.29478507,86.57093371,83.84334738,64.38111372,66.47420658,64.35387693,65.06973241,34.18095992,35.25604825,34.71850408,42.7934098,44.72207333,44.55690136,44.02412816,68.75763675,-0.365709691,0.342589637
BCAN,0.624623363,0.417435533,0.643840664,0.56196652,0.54985494,1.155009724,0.554019299,0.752961321,0.182799227,0.177571627,0.180185427,0.414963161,0.341111797,0.264072693,0.340049217,0.421164322,0.422090923,0.916257474
BGN,24.0920675,23.62460752,24.23764342,23.98477281,15.32701778,17.48450659,13.94757809,15.58636749,2.204768822,2.49867095,2.351719886,0.486590686,0.623363699,0.477753039,0.529235808,27.68450617,-0.621834005,-2.151731535
BST1,0.193793066,0.053133057,0.096851077,0.1145924,0.303281287,0.156015695,0.130962088,0.196753024,0.043211073,0,0.021605537,0,0.051312455,0,0.017104152,0.278759902,0.779869183,-0.337036943
BST2,1671.955597,1565.819309,1714.158475,1650.64446,975.8220418,1186.830494,1039.433261,1067.361932,1.72612598,2.347468342,2.036797161,0.7619092,1.093198323,0.581833087,0.812313537,1199.659059,-0.628979942,-1.326192654
